contest,input_specification,letter,main_text,memory_limit,output_specification,tags,time_limit,title
100,You are given two integers a and b one per line 1 a b 10500 These numbers will not have any leading zeros,C,Bijan is new to programming He learned recently that programmers do not code every bit of their apps from scratch For example they never write a code to sum two integers because their languages have the ability to do the sum But can they use it Can an experienced coder who has attended more than 100 contests sum two integers Bijan is not sure about this What s your opinion,64 megabytes,Write sum of the two integers Do not put any leading zeros,['special problem'/ 'implementation'],2 seconds,C A B
100,The first line contains a single integer n 2 n 8 106 the number of Aida s friends The following two lines contain a non-empty string each initial and final strings The lengths of strings are at most 107 and they only contain English alphabet letters,D,There are a lot of rumors in the media these days One day Aida decided to find out how rumors are made She asked n of her friends to help her They all formed a circle and Aida told the person to her right a piece of news which was just a simple string Then each person told the string to the person on his her right But they didn t tell the string exactly as they d heard it Each person made at most one of these two types of changes Removing one character from the end of the heard string Adding a character to the end of the heard string Finally when the rumor passed exactly n moves a complete cycle Aida heard something quite different from what she expected from the person on her left She thinks someone has cheated and made some changes other than those explained above Now she wants you to write a Pike piece of code which gets the initial and final strings and tells Aida whether it s possible to get to the final string from the initial one by the rules described above,256 megabytes,Write a single YES or NO Write YES only if it s possible to get to the final string from the initial string,['special problem'/ 'strings'],5 seconds,D World of Mouth
100,The first line of input contains a single integer n the number of lamps 1 n 105 The following line contains n words The i-th word describes the initial state of lamp number i see samples for details The following line contains a single integer k 1 k 104 the number of times a key is pressed Then in the next line come k integers in range 1 n which are the numbers of the pressed keys,E,There are n lamps in a line The lamps are numbered 1 to n from left to right There are also n keys When key number i is pressed all lamps number x such that i x change their state For two integer numbers a and b we say a b if and only if there exists an integer c such that a c b Amirali likes to play with the keys He randomly pressed k keys and wants to know the final state of the lamps Help him by writing a Pike piece of code to solve this task,256 megabytes,Write n words to output Describe the final state of the lamps See samples for more details,['special problem'/ 'math'],1 second,E Lamps in a Line
100,The first line of the input contains n 1 n 9 The following n lines contain integer ai - 10 ai 10,F,You are given a polynom in form p x x a1 x a2 x an Write Pike program to print it in a standard form p x xn b1xn - 1 bn - 1x bn You should write each addend in form C X K for example 5 X 8 Please write the polynom in the shortest way so you should skip unnecessary terms some terms C X K should be reduced or even omitted Look for the samples for clarification,64 megabytes,Print the given polynom in a standard way Note that the answer in this problem response uniquely determined,['special problem'/ 'implementation'],2 seconds,F Polynom
100,The first line contains a single integer n 0 n 105 the number of used names The following n lines each contain a string the album name and an integer the year album was published Album names are made of lowercase Latin letters and contain at most 14 letters The year is in range 1900 2011 The following line contains a single integer m 1 m 104 the number of suitable album names The following m lines each contain a string a suitable name It contains at most 14 lowercase Latin letters All album names and suitable names are non-empty,G,The famous singer Aryo is going to publish a new album of his great work Unfortunately these days there are many albums Aryo wants to choose a new name for his album a name that has not been used or at least has not been used recently He has a list of all used album names together with the year the albums were published He also has a list of suitable names for his album If he finds a suitable name which has not been used before he ll use it Otherwise he will use the name which was used as long ago as possible If two such names are found that haven t been used or were used at the same year he uses the name that is alphabetically latest Help him name his album,64 megabytes,Write a single string The name of the new album,['special problem'/ 'data structures'/ 'implementation'],2 seconds,G Name the album
100,The first line contains number n 1 n 10 the number of boards Each board is described by 10 lines containing 10 characters each The symbol 0 stands for an empty square and the symbol stands for a square occupied by a ship The descriptions of boards are separated with empty lines,H,Do you know the game Battleship If no look into Wikipedia article http en wikipedia org wiki Battleship game You are given the positions of ships on a 10 10 board for playing Battleship According to the rules the board should contain the following ships one of size 4 4 1 or 1 4 rectangle two of size 3 3 1 or 1 3 rectangles three of size 2 2 1 or 1 2 rectangles four of size 1 1 1 rectangles The ships should not bend touch each other or overlap in any way Each ship can be oriented horizontaly or verticaly Your task is to check whether the given set of boards meets the given conditions,64 megabytes,Print n lines YES or NO Print the first word if the board meets the given conditions otherwise print the second word,['special problem'/ 'dfs and similar'/ 'implementation'],2 seconds,H Battleship
100,A single integer k 0 k 360 is given in the first line Two integer numbers x and y are given in the second line - 1390 x y 1390,I,Ehsan loves geometry Especially he likes to rotate points Given a point in the plane Ehsan likes to rotate it by k degrees counter-clockwise around the origin What is the result of this rotation,64 megabytes,Write two numbers The result of the rotation Your answer must have a relative error less than 10 - 1,['special problem'/ 'geometry'/ 'math'],2 seconds,I Rotation
100,The first line contains a single integer n 1 n 103 number of intervals The following n lines contain a interval description each Each interval is described by two numbers si ei which are the start and end points of it - 105 si ei 105 si ei See samples for clarity A square bracket stands for including of the corresponding endpoint while a round bracket stands for excluding,J,Aryo has got a lot of intervals for his 2418th birthday He is really excited and decided to color all these intervals with some colors He has a simple rule for himself He calls a coloring nice if there exists no three intervals a b and c such that the following conditions are satisfied simultaneously a b and c are colored with the same color Moreover he found out that for every intervals i and j there is at least one point in i which isn t in j Given some set of intervals You have to find the minimum number k such that Aryo can find a nice coloring with k colors,256 megabytes,Write a single integer k the minimum number of colors needed for a nice coloring,['special problem'/ 'greedy'/ 'math'],2 seconds,J Interval Coloring
101,The first input data line contains a string whose length is equal to n 1 n 105 The string consists of lowercase Latin letters The second line contains the number k 0 k 105,A,Once when Gerald studied in the first year at school his teacher gave the class the following homework She offered the students a string consisting of n small Latin letters the task was to learn the way the letters that the string contains are written However as Gerald is too lazy he has no desire whatsoever to learn those letters That s why he decided to lose some part of the string not necessarily a connected part The lost part can consist of any number of segments of any length at any distance from each other However Gerald knows that if he loses more than k characters it will be very suspicious Find the least number of distinct characters that can remain in the string after no more than k characters are deleted You also have to find any possible way to delete the characters,256 megabytes,Print on the first line the only number m the least possible number of different characters that could remain in the given string after it loses no more than k characters Print on the second line the string that Gerald can get after some characters are lost The string should have exactly m distinct characters The final string should be the subsequence of the initial string If Gerald can get several different strings with exactly m distinct characters print any of them,['greedy'],2 seconds,A Homework
101,The first line contains two space-separated integers n and m 1 n 109 0 m 105 Then follow m lines each containing two integers si ti They are the numbers of starting stops and end stops of the buses 0 si ti n,B,Little boy Gerald studies at school which is quite far from his house That s why he has to go there by bus every day The way from home to school is represented by a segment of a straight line the segment contains exactly n 1 bus stops All of them are numbered with integers from 0 to n in the order in which they follow from Gerald s home The bus stop by Gerald s home has number 0 and the bus stop by the school has number n There are m buses running between the house and the school the i-th bus goes from stop si to ti si ti visiting all the intermediate stops in the order in which they follow on the segment Besides Gerald s no idiot and he wouldn t get off the bus until it is still possible to ride on it closer to the school obviously getting off would be completely pointless In other words Gerald can get on the i-th bus on any stop numbered from si to ti - 1 inclusive but he can get off the i-th bus only on the bus stop ti Gerald can t walk between the bus stops and he also can t move in the direction from the school to the house Gerald wants to know how many ways he has to get from home to school Tell him this number Two ways are considered different if Gerald crosses some segment between the stops on different buses As the number of ways can be too much find the remainder of a division of this number by 1000000007 109 7,265 megabytes,Print the only number the number of ways to get to the school modulo 1000000007 109 7,['binary search'/ 'data structures'/ 'dp'],2 seconds,B Buses
101,The first line contains integers x1 y1 the coordinates of the vector A - 108 x1 y1 108 The second and the third line contain in the similar manner vectors B and C their coordinates are integers their absolute value does not exceed 108,C,At a geometry lesson Gerald was given a task to get vector B out of vector A Besides the teacher permitted him to perform the following operations with vector Turn the vector by 90 degrees clockwise Add to the vector a certain vector C Operations could be performed in any order any number of times Can Gerald cope with the task,256 megabytes,Print YES without the quotes if it is possible to get vector B using the given operations Otherwise print NO without the quotes,['implementation'/ 'math'],1 second,C Vectors
101,The first line contains the only integer n 2 n 105 the number of halls in the castle Next n - 1 lines each contain three integers The i-th line contains numbers ai bi and ti 1 ai bi n ai bi 1 ti 1000 the numbers of halls connected with the i-th corridor and the time needed to go along the corridor Initially Gerald is in the hall number 1 It is guaranteed that one can get from any hall to any other one using corridors,D,Gerald is positioned in an old castle which consists of n halls connected with n - 1 corridors It is exactly one way to go from any hall to any other one Thus the graph is a tree Initially at the moment of time 0 Gerald is positioned in hall 1 Besides some other hall of the castle contains the treasure Gerald is looking for The treasure s position is not known it can equiprobably be in any of other n - 1 halls Gerald can only find out where the treasure is when he enters the hall with the treasure That very moment Gerald sees the treasure and the moment is regarded is the moment of achieving his goal The corridors have different lengths At that the corridors are considered long and the halls are considered small and well lit Thus it is possible not to take the time Gerald spends in the halls into consideration The castle is very old that s why a corridor collapses at the moment when somebody visits it two times no matter in which direction Gerald can move around the castle using the corridors he will go until he finds the treasure Naturally Gerald wants to find it as quickly as possible In other words he wants to act in a manner that would make the average time of finding the treasure as small as possible Each corridor can be used no more than two times That s why Gerald chooses the strategy in such a way so he can visit every hall for sure More formally if the treasure is located in the second hall then Gerald will find it the moment he enters the second hall for the first time let it be moment t2 If the treasure is in the third hall then Gerald will find it the moment he enters the third hall for the first time Let it be the moment of time t3 And so on Thus the average time of finding the treasure will be equal to,256 megabytes,Print the only real number the sought expectation of time needed to find the treasure The answer should differ from the right one in no less than 10 - 6,['dp'/ 'greedy'/ 'probabilities'/ 'sortings'/ 'trees'],2 seconds,D Castle
101,The first line contains three integers n m p 1 n m 20000 1 p 109 The second line contains n integers x0 x1 xn - 1 0 xi 20000 The third line contains m integers y0 y1 ym - 1 0 yi 20000 The value of f a b is calculated as a remainder of the division of the sum xa yb by number p,E,Little Gerald and his coach Mike play an interesting game At the beginning of the game there is a pile consisting of n candies and a pile consisting of m stones Gerald and Mike move in turns Mike goes first During his move Mike checks how many candies and stones Gerald has eaten Let Gerald eat a candies and b stones Then Mike awards Gerald f a b prize points Gerald during his move either eats a candy from the pile of candies or a stone from the pile of stones As Mike sees that Gerald has eaten everything apart one candy and one stone he awards points for the last time and the game ends Gerald is not allowed to eat all the candies and he is not allowed to eat all the stones too Tell Gerald how to play to get the largest possible number of points it is required to find one of the possible optimal playing strategies for Gerald,45 megabytes,Print on the first line the only number the maximal number of points Gerald can earn Print on the second line a sting consisting of n m - 2 characters each of which is either a C or S the i-th character should be C if Gerald s i-th move should be eating a candy and S if he should eat a stone,['divide and conquer'/ 'dp'],7 5 seconds,E Candies and Stones
102,The first input file line contains integers n and m the total number of clothing items in the shop and the total number of matching pairs of clothing items Next line contains n integers ai 1 ai 106 the prices of the clothing items in rubles Next m lines each contain a pair of space-separated integers ui and vi 1 ui vi n ui vi Each such pair of numbers means that the ui-th and the vi-th clothing items match each other It is guaranteed that in each pair ui and vi are distinct and all the unordered pairs ui vi are different,A,A little boy Gerald entered a clothes shop and found out something very unpleasant not all clothes turns out to match For example Gerald noticed that he looks rather ridiculous in a smoking suit and a baseball cap Overall the shop sells n clothing items and exactly m pairs of clothing items match Each item has its price represented by an integer number of rubles Gerald wants to buy three clothing items so that they matched each other Besides he wants to spend as little money as possible Find the least possible sum he can spend,256 megabytes,Print the only number the least possible sum in rubles that Gerald will have to pay in the shop If the shop has no three clothing items that would match each other print -1 without the quotes,['brute force'],2 seconds,A Clothes
102,The first line contains the only integer n 0 n 10100000 It is guaranteed that n doesn t contain any leading zeroes,B,Having watched the last Harry Potter film little Gerald also decided to practice magic He found in his father s magical book a spell that turns any number in the sum of its digits At the moment Gerald learned that he came across a number n How many times can Gerald put a spell on it until the number becomes one-digit,265 megabytes,Print the number of times a number can be replaced by the sum of its digits until it only contains one digit,['implementation'],2 seconds,B Sum of Digits
103,The first line contains a positive integer n 1 n 100 It is the number of questions in the test The second line contains space-separated n positive integers ai 1 ai 109 the number of answer variants to question i,A,The average miner Vaganych took refresher courses As soon as a miner completes the courses he should take exams The hardest one is a computer test called Testing Pants for Sadness The test consists of n questions the questions are to be answered strictly in the order in which they are given from question 1 to question n Question i contains ai answer variants exactly one of them is correct A click is regarded as selecting any answer in any question The goal is to select the correct answer for each of the n questions If Vaganych selects a wrong answer for some question then all selected answers become unselected and the test starts from the very beginning from question 1 again But Vaganych remembers everything The order of answers for each question and the order of questions remain unchanged as well as the question and answers themselves Vaganych is very smart and his memory is superb yet he is unbelievably unlucky and knows nothing whatsoever about the test s theme How many clicks will he have to perform in the worst case,256 megabytes,Print a single number the minimal number of clicks needed to pass the test it the worst-case scenario Please do not use the lld specificator to read or write 64-bit integers in It is preferred to use the cin cout streams or the I64d specificator,['greedy'/ 'implementation'/ 'math'],2 seconds,A Testing Pants for Sadness
103,The first line contains two integers the number of vertices n and the number of edges m of the graph 1 n 100 0 m Each of the following m lines contains a pair of integers x and y that show that an edge exists between vertices x and y 1 x y n x y For each pair of vertices there will be at most one edge between them no edge connects a vertex to itself,B,Once upon a time a man came to the sea The sea was stormy and dark The man started to call for the little mermaid to appear but alas he only woke up Cthulhu Whereas on the other end of the world Pentagon is actively collecting information trying to predict the monster s behavior and preparing the secret super weapon Due to high seismic activity and poor weather conditions the satellites haven t yet been able to make clear shots of the monster The analysis of the first shot resulted in an undirected graph with n vertices and m edges Now the world s best minds are about to determine whether this graph can be regarded as Cthulhu or not To add simplicity let s suppose that Cthulhu looks from the space like some spherical body with tentacles attached to it Formally we shall regard as Cthulhu such an undirected graph that can be represented as a set of three or more rooted trees whose roots are connected by a simple cycle It is guaranteed that the graph contains no multiple edges and self-loops,256 megabytes,Print NO if the graph is not Cthulhu and FHTAGN if it is,['dfs and similar'/ 'dsu'/ 'graphs'],2 seconds,B Cthulhu
103,The first line contains three integers n k and p 1 n 1018 0 k n 1 p 1000 the number of slots in the cylinder the number of bullets and the number of queries Then follow p lines they are the queries Each line contains one integer xi 1 xi n the number of slot to describe Please do not use the lld specificator to read or write 64-bit numbers in It is preferred to use cin cout streams or the I64d specificator,C,After all the events in Orlando we all know Sasha and Roma decided to find out who is still the team s biggest loser Thankfully Masha found somewhere a revolver with a rotating cylinder of n bullet slots able to contain exactly k bullets now the boys have a chance to resolve the problem once and for all Sasha selects any k out of n slots he wishes and puts bullets there Roma spins the cylinder so that every of n possible cylinder s shifts is equiprobable Then the game starts the players take turns Sasha starts he puts the gun to his head and shoots If there was no bullet in front of the trigger the cylinder shifts by one position and the weapon is given to Roma for make the same move The game continues until someone is shot the survivor is the winner Sasha does not want to lose so he must choose slots for bullets in such a way as to minimize the probability of its own loss Of all the possible variant he wants to select the lexicographically minimal one where an empty slot is lexicographically less than a charged one More formally the cylinder of n bullet slots able to contain k bullets can be represented as a string of n characters Exactly k of them are X charged slots and the others are uncharged slots Let us describe the process of a shot Suppose that the trigger is in front of the first character of the string the first slot If a shot doesn t kill anyone and the cylinder shifts then the string shifts left So the first character becomes the last one the second character becomes the first one and so on But the trigger doesn t move It will be in front of the first character of the resulting string Among all the strings that give the minimal probability of loss Sasha choose the lexicographically minimal one According to this very string he charges the gun You have to help Sasha to charge the gun For that each xi query must be answered is there a bullet in the positions xi,256 megabytes,For each query print if the slot should be empty and X if the slot should be charged,['constructive algorithms'/ 'greedy'],2 seconds,C Russian Roulette
103,The first line contains the only positive integer n 1 n 3 105 the number of cows in the cowavan The second number contains n positive integer wi separated by spaces where the i-th number describes the mass of the i-th cow in the cowavan 1 wi 109 The third line contains the only positive integer p the number of scenarios of a b -raids 1 p 3 105 Each following line contains integer parameters a and b of the corresponding scenario 1 a b n,D,As you know the most intelligent beings on the Earth are of course cows This conclusion was reached long ago by the Martian aliens as well as a number of other intelligent civilizations from outer space Sometimes cows gather into cowavans This seems to be seasonal But at this time the cows become passive and react poorly to external stimuli A cowavan is a perfect target for the Martian scientific saucer it s time for large-scale abductions or as the Martians say raids Simply put a cowavan is a set of cows in a row If we number all cows in the cowavan with positive integers from 1 to n then we can formalize the popular model of abduction known as the a b -Cowavan Raid first they steal a cow number a then number a b then number a 2 b and so on until the number of an abducted cow exceeds n During one raid the cows are not renumbered The aliens would be happy to place all the cows on board of their hospitable ship but unfortunately the amount of cargo space is very very limited The researchers knowing the mass of each cow in the cowavan made p scenarios of the a b -raid Now they want to identify the following thing for each scenario individually what total mass of pure beef will get on board of the ship All the scenarios are independent in the process of performing the calculations the cows are not being stolen,70 megabytes,Print for each scenario of the a b -raid the total mass of cows that can be stolen using only this scenario Please do not use the lld specificator to read or write 64-bit integers in It is recommended to use the cin cout streams of the I64d specificator,['brute force'/ 'data structures'/ 'sortings'],4 seconds,D Time to Raid Cowavans
103,The first line contains the only number n 1 n 300 the number of sets available in the market Next n lines describe the goods first we are given mi 1 mi n the number of distinct numbers in the i-th set then follow mi numbers the set s elements We know that the set s elements are distinct positive integers and they do not exceed n The last line contains n integers whose absolute values do not exceed 106 the price of each set,E,The Hexadecimal virus loves playing with number sets intersecting them uniting them One beautiful day she was surprised to find out that Scuzzy her spherical pet cat united all sets in one and ate the result Something had to be done quickly and Hexadecimal rushed to the market The market has n sets of numbers on sale The virus wants to buy the following collection of sets the number of sets in the collection should be exactly the same as the number of numbers in the union of all bought sets Moreover Hexadecimal wants to buy the cheapest suitable collection of set Yet nothing s so easy As Mainframe is a kingdom of pure rivalry markets we know that the union of any k sets contains no less than k distinct numbers for every positive integer k Help the virus choose the suitable collection of sets The collection can be empty,256 megabytes,Print a single number the minimum price the virus will have to pay for such a collection of k sets that union of the collection s sets would have exactly k distinct numbers,['flows'/ 'graph matchings'],2 seconds,E Buying Sets
104,The only line contains n 1 n 25 the required sum of points,A,One rainy gloomy evening when all modules hid in the nearby cafes to drink hot energetic cocktails the Hexadecimal virus decided to fly over the Mainframe to look for a Great Idea And she has found one Why not make her own Codeforces with blackjack and other really cool stuff Many people will surely be willing to visit this splendid shrine of high culture In Mainframe a standard pack of 52 cards is used to play blackjack The pack contains cards of 13 values 2 3 4 5 6 7 8 9 10 jacks queens kings and aces Each value also exists in one of four suits hearts diamonds clubs and spades Also each card earns some value in points assigned to it cards with value from two to ten earn from 2 to 10 points correspondingly An ace can either earn 1 or 11 whatever the player wishes The picture cards king queen and jack earn 10 points The number of points a card earns does not depend on the suit The rules of the game are very simple The player gets two cards if the sum of points of those cards equals n then the player wins otherwise the player loses The player has already got the first card it s the queen of spades To evaluate chances for victory you should determine how many ways there are to get the second card so that the sum of points exactly equals n,256 megabytes,Print the numbers of ways to get the second card in the required way if the first card is the queen of spades,['implementation'],2 seconds,A Blackjack
105,The first line contains three numbers n m and k the number of skills the current character has the number of skills specific for the class into which the character is going to transmigrate and the reducing coefficient respectively n and m are integers and k is a real number with exactly two digits after decimal point 1 n m 20 0 01 k 0 99 Then follow n lines each of which describes a character s skill in the form name exp the skill s name and the character s skill level name is a string and exp is an integer in range from 0 to 9999 inclusive Then follow m lines each of which contains names of skills specific for the class into which the character transmigrates All names consist of lowercase Latin letters and their lengths can range from 1 to 20 characters inclusive All character s skills have distinct names Besides the skills specific for the class into which the player transmigrates also have distinct names,A,In Disgaea as in most role-playing games characters have skills that determine the character s ability to use certain weapons or spells If the character does not have the necessary skill he cannot use it The skill level is represented as an integer that increases when you use this skill Different character classes are characterized by different skills Unfortunately the skills that are uncommon for the given character s class are quite difficult to obtain To avoid this limitation there is the so-called transmigration Transmigration is reincarnation of the character in a new creature His soul shifts to a new body and retains part of his experience from the previous life As a result of transmigration the new character gets all the skills of the old character and the skill levels are reduced according to the k coefficient if the skill level was equal to x then after transmigration it becomes equal to kx where y is the integral part of y If some skill s levels are strictly less than 100 these skills are forgotten the character does not have them any more After that the new character also gains the skills that are specific for his class but are new to him The levels of those additional skills are set to 0 Thus one can create a character with skills specific for completely different character classes via transmigrations For example creating a mage archer or a thief warrior is possible You are suggested to solve the following problem what skills will the character have after transmigration and what will the levels of those skills be,256 megabytes,Print on the first line number z the number of skills the character will have after the transmigration Then print z lines on each of which print a skill s name and level separated by a single space The skills should be given in the lexicographical order,['implementation'],2 seconds,A Transmigration
